城市,16-Jan,同比上年同月
北　　京,150.4,101.4
天　　津,129.2,101.1
石 家 庄,121,99.3
太　　原,111.8,106.9
呼和浩特,100.2,100.6
沈　　阳,107.7,105.8
大　　连,104.8,104.1
长　　春,105.4,104.3
哈 尔 滨,107.4,105.5
上　　海,142.9,100.4
南　　京,132.6,102.8
杭　　州,134.4,109.4
宁　　波,117.1,107.4
合　　肥,153,100
福　　州,125.8,108.8
厦　　门,147.9,105.3
南　　昌,121.2,107.5
济　　南,122,108
青　　岛,119.4,110.5
郑　　州,133.3,108
武　　汉,137.3,114.4
长　　沙,125.1,116.8
广　　州,148.9,115.8
深　　圳,146.9,100.8
南　　宁,113.1,109
海　　口,103.9,103
重　　庆,114.6,109.4
成　　都,111.3,105.4
贵　　阳,106.4,104.5
昆　　明,105.7,103.5
西　　安,104.9,108.5
兰　　州,105.1,103.1
西　　宁,100.4,101
银　　川,100.2,100.5
乌鲁木齐,103,105.2
唐　　山,105.6,105.8
秦 皇 岛,109.7,109.7
包　　头,100.1,104.4
丹　　东,98.9,101.6
锦　　州,93.8,99.5
吉　　林,104.7,103.5
牡 丹 江,104.4,103.3
无　　锡,132.4,113.2
扬　　州,113,110.8
徐　　州,110.3,106.9
温　　州,113.7,107.5
金　　华,113.6,108.4
蚌　　埠,112.7,110.3
安　　庆,113.2,109.7
泉　　州,111.3,109.2
九　　江,116.8,107.7
赣　　州,112.4,105.5
烟　　台,109.7,107.7
济　　宁,106.4,105.9
洛　　阳,106.9,104.8
平 顶 山,100.8,103.4
宜　　昌,110.8,107.1
襄　　阳,104.8,103.9
岳　　阳,106.5,105.7
常　　德,106.8,104.3
惠　　州,122.9,109.9
湛　　江,107.7,108.8
韶　　关,107.6,106.8
桂　　林,100,102.2
北　　海,112.2,109.4
三　　亚,105.6,103.9
泸　　州,105.8,102.2
南　　充,108.7,106.1
遵　　义,105.3,105.3
大　　理,99.6,101.1
