城市,16-Jan
北　　京,122.1
天　　津,134.7
石 家 庄,118.5
太　　原,106.8
呼和浩特,98.3
沈　　阳,107.4
大　　连,102.6
长　　春,107
哈 尔 滨,103.4
上　　海,148
南　　京,150.4
杭　　州,138.4
宁　　波,118.7
合　　肥,148.5
福　　州,131.4
厦　　门,151.1
南　　昌,121.1
济　　南,120.4
青　　岛,114.6
郑　　州,132.9
武　　汉,129.1
长　　沙,118.9
广　　州,136.7
深　　圳,147.7
南　　宁,116.6
海　　口,112.7
重　　庆,112.2
成　　都,103.5
贵　　阳,107.5
昆　　明,105.4
西　　安,112.1
兰　　州,105
西　　宁,102.7
银　　川,101
乌鲁木齐,97.6
唐　　山,103.7
秦 皇 岛,106.9
包　　头,99.8
丹　　东,98.8
锦　　州,93.6
吉　　林,102.8
牡 丹 江,98.1
无　　锡,138.1
扬　　州,115.4
徐　　州,112.2
温　　州,107
金　　华,111.5
蚌　　埠,108.6
安　　庆,110.4
泉　　州,110.8
九　　江,115.6
赣　　州,115
烟　　台,105.2
济　　宁,101.9
洛　　阳,110.1
平 顶 山,104.1
宜　　昌,106.9
襄　　阳,103.6
岳　　阳,105.9
常　　德,104.5
惠　　州,126.4
湛　　江,108.8
韶　　关,110.5
桂　　林,102.9
北　　海,105.7
三　　亚,111.5
泸　　州,105.3
南　　充,102.5
遵　　义,103.9
大　　理,102.8
