城市,16-Jan,同比上年同月
北　　京,154.4,132.9
天　　津,131.3,125.6
石 家 庄,120.8,119.8
太　　原,107.4,106.9
呼和浩特,99,98.9
沈　　阳,101.9,101.2
大　　连,101.5,102.1
长　　春,102.1,102.2
哈 尔 滨,102.2,101.2
上　　海,142.6,124.3
南　　京,134.9,127.5
杭　　州,127.1,122.1
宁　　波,110.4,107.1
合　　肥,152.5,138.5
福　　州,120.2,116.2
厦　　门,143.8,134.5
南　　昌,116.3,115.2
济　　南,118.3,116.2
青　　岛,111.8,110.9
郑　　州,131.9,127
武　　汉,128.1,123.4
长　　沙,114.6,113.3
广　　州,140,128
深　　圳,143.3,108.9
南　　宁,108.1,106.9
海　　口,103.6,104.7
重　　庆,107.5,105.1
成　　都,108.6,106.6
贵　　阳,102.9,102.2
昆　　明,102.3,101
西　　安,97,99.1
兰　　州,102,101.7
西　　宁,99.4,99.5
银　　川,99.4,100.4
乌鲁木齐,97.1,97.4
唐　　山,102.8,103.4
秦 皇 岛,104.6,106.1
包　　头,97.5,99.2
丹　　东,97.2,98.9
锦　　州,93.6,97.6
吉　　林,102,102.2
牡 丹 江,101.9,101.2
无　　锡,120.9,121.5
扬　　州,107.4,107.3
徐　　州,106.3,106.1
温　　州,106.7,103.5
金　　华,106.9,105.3
蚌　　埠,105.7,106.7
安　　庆,107.4,107.9
泉　　州,107.2,107
九　　江,113.1,110.9
赣　　州,110.8,110.4
烟　　台,103.6,103.8
济　　宁,100.7,101.5
洛　　阳,103.7,103.4
平 顶 山,98.3,100.2
宜　　昌,105.8,104.1
襄　　阳,102,101.8
岳　　阳,102.9,103.4
常　　德,102.9,102.6
惠　　州,116.2,114.5
湛　　江,101.6,103.5
韶　　关,102.3,101.8
桂　　林,97.3,98.5
北　　海,103.9,102
三　　亚,105.2,104.7
泸　　州,104.5,102.6
南　　充,103.6,103.3
遵　　义,102.1,104.2
大　　理,97.8,98.6
