城市,16-Sep,同比上年同月
北　　京,151,137
天　　津,130.2,127.1
石 家 庄,120.2,119.5
太　　原,106.5,105.7
呼和浩特,98.9,98.6
沈　　阳,102,101.2
大　　连,101.2,102
长　　春,101.6,100.7
哈 尔 滨,101.8,100.7
上　　海,143.1,134.4
南　　京,135.3,130.9
杭　　州,125.8,122.5
宁　　波,110.2,107.8
合　　肥,154,150.6
福　　州,117.9,115.5
厦　　门,139.8,134.5
南　　昌,114.4,113.1
济　　南,117.5,115.9
青　　岛,110.1,109.5
郑　　州,129.8,127.1
武　　汉,126.3,123.3
长　　沙,112.1,111.3
广　　州,133.1,125.2
深　　圳,143,119.1
南　　宁,105.8,104.5
海　　口,102.2,103.3
重　　庆,106.3,105.8
成　　都,106.4,105.8
贵　　阳,102.1,101.5
昆　　明,102.8,101.9
西　　安,96.6,97.7
兰　　州,101.7,101.8
西　　宁,99.4,99
银　　川,99.7,100.5
乌鲁木齐,96.9,95.5
唐　　山,101.3,101.5
秦 皇 岛,103.2,104.2
包　　头,97.6,98.6
丹　　东,97.2,98
锦　　州,94,97.5
吉　　林,101.7,101.6
牡 丹 江,101.7,101
无　　锡,119.6,119.9
扬　　州,106,105.7
徐　　州,105.3,105.1
温　　州,106.2,103.9
金　　华,106.5,105.2
蚌　　埠,104.3,105.8
安　　庆,106.4,107
泉　　州,105.3,105.2
九　　江,111.5,109.8
赣　　州,109.4,109.1
烟　　台,102.7,102.8
济　　宁,100.9,101.1
洛　　阳,103.3,102.9
平 顶 山,97.9,98.8
宜　　昌,105.2,104
襄　　阳,101.5,101
岳　　阳,102.3,102.5
常　　德,103,102.4
惠　　州,115.1,114.2
湛　　江,100.3,102.1
韶　　关,101.5,101.9
桂　　林,97.1,97.8
北　　海,103.4,101.3
三　　亚,103.4,102.4
泸　　州,104.2,102.4
南　　充,103.2,103
遵　　义,101.5,103.2
大　　理,98.4,99.5
