城市,16-Jan,同比上年同月
北　　京,156.1,119.3
天　　津,134.2,119
石 家 庄,121.5,113.1
太　　原,110.1,108.3
呼和浩特,99.2,99.1
沈　　阳,104.6,102.9
大　　连,103.3,103
长　　春,103.6,103.2
哈 尔 滨,103.6,101.9
上　　海,145.4,114.2
南　　京,133.5,115.7
杭　　州,130.7,118.1
宁　　波,113.4,107.7
合　　肥,152,112.2
福　　州,123.9,116
厦　　门,150.1,120.7
南　　昌,118.9,112.7
济　　南,122.1,117.8
青　　岛,116.6,115.2
郑　　州,133.5,124.5
武　　汉,132,122.3
长　　沙,122.7,119.5
广　　州,146.7,124.2
深　　圳,145.8,106.4
南　　宁,109.3,107
海　　口,104.8,104.8
重　　庆,110.3,106.6
成　　都,110.2,107.2
贵　　阳,104.5,103.5
昆　　明,104.5,101.6
西　　安,101.1,103.9
兰　　州,103.7,103
西　　宁,99.9,100.6
银　　川,99.9,100.4
乌鲁木齐,98.3,100
唐　　山,104.3,104.9
秦 皇 岛,107.5,108.2
包　　头,99.1,102.1
丹　　东,97.7,100
锦　　州,93.6,98.4
吉　　林,103.5,103.1
牡 丹 江,102.8,101.6
无　　锡,127.8,125.2
扬　　州,111.2,110.9
徐　　州,108.5,107.2
温　　州,109.6,105.5
金　　华,110,107.5
蚌　　埠,109.8,110.1
安　　庆,110.9,110.7
泉　　州,110.2,109.9
九　　江,114.8,110.2
赣　　州,111.1,109.4
烟　　台,106.6,106
济　　宁,102.2,102.7
洛　　阳,105,103.9
平 顶 山,99.2,101
宜　　昌,109.6,106.8
襄　　阳,103.8,103.5
岳　　阳,104.8,104.9
常　　德,104.7,104.1
惠　　州,120.9,114.6
湛　　江,104.7,106.6
韶　　关,105.1,104.4
桂　　林,98.2,100.2
北　　海,108.6,106.3
三　　亚,106.4,105.5
泸　　州,105.6,102.9
南　　充,105.9,104.6
遵　　义,103.5,104.2
大　　理,98.3,98.7
