城市,16-Jan
北　　京,122.2
天　　津,134.8
石 家 庄,119.8
太　　原,114.6
呼和浩特,102.5
沈　　阳,116.3
大　　连,109.9
长　　春,115
哈 尔 滨,111.5
上　　海,147.8
南　　京,151.4
杭　　州,137.5
宁　　波,123.9
合　　肥,147
福　　州,128.5
厦　　门,152.7
南　　昌,126.3
济　　南,119.4
青　　岛,117.2
郑　　州,131.7
武　　汉,129.7
长　　沙,122.6
广　　州,140.1
深　　圳,145.5
南　　宁,123.5
海　　口,108.4
重　　庆,120.2
成　　都,105.2
贵　　阳,115.5
昆　　明,111.5
西　　安,122.2
兰　　州,108.9
西　　宁,106.4
银　　川,104.5
乌鲁木齐,103.8
唐　　山,107.7
秦 皇 岛,113.1
包　　头,105.5
丹　　东,101.6
锦　　州,94.8
吉　　林,108
牡 丹 江,103.3
无　　锡,137.3
扬　　州,120.1
徐　　州,120.5
温　　州,110.7
金　　华,119.7
蚌　　埠,116.8
安　　庆,113.7
泉　　州,111.1
九　　江,123.1
赣　　州,117.9
烟　　台,111.3
济　　宁,109.7
洛　　阳,118.5
平 顶 山,106.8
宜　　昌,111.9
襄　　阳,110.6
岳　　阳,111.9
常　　德,112.5
惠　　州,131
湛　　江,116.3
韶　　关,115.7
桂　　林,110.2
北　　海,118.5
三　　亚,110.9
泸　　州,108.2
南　　充,109.5
遵　　义,109
大　　理,107.6
