城市,16-Jan,同比上年同月
北　　京,157.4,127.9
天　　津,133.5,124.7
石 家 庄,121.4,118.2
太　　原,108.1,106.9
呼和浩特,99,98.9
沈　　阳,102.6,101.8
大　　连,101.9,102.2
长　　春,102.8,102.7
哈 尔 滨,102.4,100.8
上　　海,143.9,117.8
南　　京,134.4,123.4
杭　　州,128.5,120.8
宁　　波,111.1,107.4
合　　肥,152.4,126.1
福　　州,122.1,117.1
厦　　门,151.6,135.2
南　　昌,116.8,113.6
济　　南,119.8,116.7
青　　岛,113.9,112.8
郑　　州,132.4,126
武　　汉,129.2,122.9
长　　沙,116.5,114.7
广　　州,144.8,128.1
深　　圳,143.5,104.6
南　　宁,108.1,107.1
海　　口,104.7,105
重　　庆,108.2,105.6
成　　都,109.8,107.5
贵　　阳,103.3,102.4
昆　　明,102.8,101.2
西　　安,98,100.3
兰　　州,102.2,102.3
西　　宁,99.5,99.9
银　　川,99.4,100.1
乌鲁木齐,96.9,98
唐　　山,103.6,104.2
秦 皇 岛,106.3,107.5
包　　头,98.4,100.4
丹　　东,97.1,99.2
锦　　州,93.6,98
吉　　林,102.6,102.6
牡 丹 江,102.1,101.1
无　　锡,123.4,123
扬　　州,108.9,108.7
徐　　州,106.2,105.7
温　　州,107.2,103.4
金　　华,107.8,105.9
蚌　　埠,106.3,107.2
安　　庆,108.4,109
泉　　州,108.5,108.4
九　　江,113.8,110.6
赣　　州,111.1,110.9
烟　　台,104,104.1
济　　宁,101.5,102
洛　　阳,103.9,103.5
平 顶 山,98.1,99.7
宜　　昌,106.7,104.4
襄　　阳,102.5,102.4
岳　　阳,103.3,103.6
常　　德,103.6,103.2
惠　　州,118.2,115.2
湛　　江,102,104
韶　　关,104,103.2
桂　　林,97.3,98.7
北　　海,104.4,102.1
三　　亚,107,106
泸　　州,105,103.1
南　　充,104.4,103.9
遵　　义,102.7,104.5
大　　理,97.8,98.4
