date,price
2016/1/1,63736
2016/2/1,63736
2016/3/1,63736
2016/4/1,63736
2016/5/1,63736
2016/6/1,63736
2016/7/1,63043
2016/8/1,68868
2016/9/1,62715
2016/10/1,62715
2016/11/1,62715
2016/12/1,62715
2017/1/1,62715
2017/2/1,63887
2017/3/1,63242
2017/4/1,63685
2017/5/1,59533
2017/6/1,64248
2017/7/1,68692
2017/8/1,66398
2017/9/1,66133
2017/10/1,66133
2017/11/1,66309
2017/12/1,60101
