城市,16-Jan
北　　京,122.3
天　　津,135.8
石 家 庄,118.8
太　　原,113
呼和浩特,100.8
沈　　阳,114.8
大　　连,108
长　　春,113.3
哈 尔 滨,109.5
上　　海,147.2
南　　京,151.4
杭　　州,137.4
宁　　波,123.4
合　　肥,147.1
福　　州,128.4
厦　　门,152.7
南　　昌,127.2
济　　南,121
青　　岛,116.4
郑　　州,131.9
武　　汉,129.5
长　　沙,122.3
广　　州,140.2
深　　圳,146.1
南　　宁,123
海　　口,111.5
重　　庆,119.3
成　　都,104.2
贵　　阳,114.3
昆　　明,109.7
西　　安,121
兰　　州,107.8
西　　宁,105.3
银　　川,102.7
乌鲁木齐,101.1
唐　　山,108.1
秦 皇 岛,110.7
包　　头,103.1
丹　　东,100.2
锦　　州,93.9
吉　　林,107.1
牡 丹 江,101.5
无　　锡,138.3
扬　　州,120
徐　　州,118.5
温　　州,110.4
金　　华,119.6
蚌　　埠,117
安　　庆,113.3
泉　　州,110
九　　江,122.8
赣　　州,117.3
烟　　台,109.3
济　　宁,109.2
洛　　阳,117.2
平 顶 山,106.5
宜　　昌,112.1
襄　　阳,109.2
岳　　阳,111.2
常　　德,111.5
惠　　州,130.1
湛　　江,114.3
韶　　关,115.9
桂　　林,107.9
北　　海,116.8
三　　亚,109.4
泸　　州,107.1
南　　充,107.3
遵　　义,107.2
大　　理,106.9
