城市,16-Sep,同比上年同月
北　　京,150,140.5
天　　津,128.8,126.7
石 家 庄,121.5,121.2
太　　原,105.3,104.7
呼和浩特,99.2,99.1
沈　　阳,101.8,101.5
大　　连,100.9,101
长　　春,101.5,100.6
哈 尔 滨,101.8,100.9
上　　海,143.1,137.5
南　　京,131.1,129.2
杭　　州,125.7,124.4
宁　　波,109.7,108.6
合　　肥,155.6,153.9
福　　州,117,115.8
厦　　门,140.5,138.1
南　　昌,113.5,112.6
济　　南,115.8,114.9
青　　岛,109.1,108.5
郑　　州,127.5,126.4
武　　汉,122.9,121.4
长　　沙,109.4,109.2
广　　州,130.4,125.1
深　　圳,145,128.5
南　　宁,104.9,103.8
海　　口,101.4,102.7
重　　庆,104.9,104.2
成　　都,106.3,106.1
贵　　阳,102,101.8
昆　　明,102.7,102.5
西　　安,96.9,97.2
兰　　州,101.7,102
西　　宁,99.4,98.9
银　　川,99.6,100.1
乌鲁木齐,97.5,96.4
唐　　山,100.4,100.6
秦 皇 岛,101,101.5
包　　头,96.4,96.4
丹　　东,97.4,97.8
锦　　州,94,96.6
吉　　林,101.3,100.9
牡 丹 江,101.3,101
无　　锡,119.6,119.5
扬　　州,103.5,103.1
徐　　州,104,104.1
温　　州,105.9,104.3
金　　华,105.1,104.2
蚌　　埠,102.7,103.5
安　　庆,103.7,104.3
泉　　州,102.6,102.6
九　　江,109.6,108.4
赣　　州,108.6,108.1
烟　　台,102.1,102
济　　宁,100.3,100.5
洛　　阳,102.2,102
平 顶 山,98.7,98.5
宜　　昌,103.9,103
襄　　阳,101.1,101.6
岳　　阳,101.6,101.8
常　　德,102.6,102.3
惠　　州,113.2,113.2
湛　　江,99.2,100.4
韶　　关,101.2,100.8
桂　　林,97.8,98.5
北　　海,102.8,101.4
三　　亚,102,101.2
泸　　州,103.7,102.5
南　　充,103,102.8
遵　　义,100.5,101.6
大　　理,98.2,99.1
