城市,16-Jan
北　　京,121.8
天　　津,135.3
石 家 庄,119.4
太　　原,111.1
呼和浩特,100.3
沈　　阳,113.2
大　　连,106.2
长　　春,111.7
哈 尔 滨,108.2
上　　海,146.9
南　　京,150.2
杭　　州,138
宁　　波,123
合　　肥,147.4
福　　州,129.1
厦　　门,152.7
南　　昌,125.3
济　　南,121.8
青　　岛,115.9
郑　　州,132.7
武　　汉,130.2
长　　沙,122.1
广　　州,140.4
深　　圳,146.3
南　　宁,121.8
海　　口,113
重　　庆,118.6
成　　都,104.8
贵　　阳,112.3
昆　　明,109.1
西　　安,119.7
兰　　州,107.2
西　　宁,104.1
银　　川,102
乌鲁木齐,99.5
唐　　山,108.7
秦 皇 岛,110.7
包　　头,101.9
丹　　东,99.6
锦　　州,94.1
吉　　林,105.9
牡 丹 江,99.8
无　　锡,139.6
扬　　州,120.4
徐　　州,118.3
温　　州,110.9
金　　华,118.7
蚌　　埠,117.1
安　　庆,112.3
泉　　州,111.6
九　　江,122.8
赣　　州,116.6
烟　　台,108.6
济　　宁,107
洛　　阳,115.6
平 顶 山,106.4
宜　　昌,112.7
襄　　阳,109.2
岳　　阳,109.9
常　　德,109.9
惠　　州,129.3
湛　　江,113.7
韶　　关,115.5
桂　　林,106.7
北　　海,114.8
三　　亚,109.2
泸　　州,106.8
南　　充,105.8
遵　　义,106
大　　理,105.2
