城市,16-Jan,同比上年同月
北　　京,149.7,99.8
天　　津,128.6,99.8
石 家 庄,121.8,100.3
太　　原,112.2,106.5
呼和浩特,100.6,101.4
沈　　阳,107.9,106
大　　连,105.3,104.4
长　　春,105.9,104.3
哈 尔 滨,108.3,106.3
上　　海,142.7,99.7
南　　京,132.5,101
杭　　州,135.1,107.5
宁　　波,117.2,106.8
合　　肥,152.6,98.1
福　　州,125.8,107.5
厦　　门,147.2,104.8
南　　昌,120.6,106.3
济　　南,121.8,105.2
青　　岛,119.8,109.8
郑　　州,132.5,104
武　　汉,137.8,112.1
长　　沙,125.4,114.7
广　　州,148.4,113.8
深　　圳,148.2,102.2
南　　宁,113.9,108.6
海　　口,103.1,101.6
重　　庆,114.8,109.4
成　　都,112,105.4
贵　　阳,106.6,104.4
昆　　明,106.4,103.6
西　　安,105.5,108.8
兰　　州,105,103.2
西　　宁,100.4,101.1
银　　川,100.2,100.6
乌鲁木齐,104.3,106.9
唐　　山,106.3,105.9
秦 皇 岛,110,108.9
包　　头,99.5,103.2
丹　　东,99.1,101.8
锦　　州,93.7,99.7
吉　　林,105,103.6
牡 丹 江,104.6,103.2
无　　锡,131.1,109.5
扬　　州,113.1,109.2
徐　　州,110.6,106.4
温　　州,113.9,107.6
金　　华,114.2,108.6
蚌　　埠,112.8,109.9
安　　庆,113.1,109
泉　　州,111.5,108.6
九　　江,116.6,106.4
赣　　州,112.2,103.3
烟　　台,110.1,107.8
济　　宁,106.8,106.5
洛　　阳,107.1,104.8
平 顶 山,101.4,102.8
宜　　昌,110.6,106.4
襄　　阳,104.8,103.7
岳　　阳,106.8,105
常　　德,106.9,104.3
惠　　州,123.1,108.8
湛　　江,108.2,109.1
韶　　关,107.2,106
桂　　林,100.3,102.6
北　　海,112.6,109.5
三　　亚,105.6,103.6
泸　　州,106.3,102.5
南　　充,109.5,106.4
遵　　义,105.8,105.2
大　　理,99.9,101.7
