城市,16-Jan,同比上年同月
北　　京,154.3,116.3
天　　津,132.5,115.2
石 家 庄,121.7,110.4
太　　原,111.3,108.9
呼和浩特,99.5,99.8
沈　　阳,105.9,104
大　　连,103.8,103.2
长　　春,104.3,103.9
哈 尔 滨,105.2,103.5
上　　海,145.2,111.5
南　　京,134.1,113.6
杭　　州,131.6,117.5
宁　　波,114.9,108.8
合　　肥,151.5,107.9
福　　州,125,116.4
厦　　门,149.7,114.9
南　　昌,119.8,111.8
济　　南,123.1,117.9
青　　岛,117.5,116
郑　　州,133.9,122.9
武　　汉,133.9,121.8
长　　沙,123.5,120
广　　州,148.1,123.6
深　　圳,146,106.5
南　　宁,111.4,109.1
海　　口,105.3,105.2
重　　庆,111.8,107.9
成　　都,110.1,106.9
贵　　阳,105.1,104
昆　　明,104.8,102.2
西　　安,102.9,106.8
兰　　州,104.2,103.4
西　　宁,100,100.8
银　　川,99.9,100.3
乌鲁木齐,99.2,101.1
唐　　山,105.1,105.7
秦 皇 岛,107.1,107.4
包　　头,99.3,102.2
丹　　东,97.9,100.5
锦　　州,94,99
吉　　林,103.9,103.3
牡 丹 江,103.3,102.1
无　　锡,129.5,126.2
扬　　州,111.9,111.6
徐　　州,109.8,108.2
温　　州,112,107.6
金　　华,110.9,108
蚌　　埠,111.8,112
安　　庆,111.4,111.1
泉　　州,110.8,110.9
九　　江,115.7,109.5
赣　　州,111.6,109.5
烟　　台,107.6,106.9
济　　宁,103.6,103.9
洛　　阳,106.2,105
平 顶 山,99.7,102.9
宜　　昌,110.9,108.1
襄　　阳,104.3,104.1
岳　　阳,105.6,105.5
常　　德,105.5,104.5
惠　　州,121.9,114.6
湛　　江,105.5,107.3
韶　　关,105.6,105.3
桂　　林,99,101.1
北　　海,110.5,108.2
三　　亚,105.7,104.7
泸　　州,105.8,102.9
南　　充,106.9,105.5
遵　　义,103.8,104.2
大　　理,98.9,99.6
