date,price
2016/1/1,45528
2016/2/1,45528
2016/3/1,45528
2016/4/1,45528
2016/5/1,45528
2016/6/1,48843
2016/7/1,48843
2016/8/1,48843
2016/9/1,50896
2016/10/1,50896
2016/11/1,50896
2016/12/1,50896
2017/1/1,50896
2017/2/1,50896
2017/3/1,47312
2017/4/1,47312
2017/5/1,47312
2017/6/1,47312
2017/7/1,47312
2017/8/1,51696
2017/9/1,49071
2017/10/1,48534
2017/11/1,48534
2017/12/1,48534
