城市,16-Jan
北　　京,122.3
天　　津,135.5
石 家 庄,119.5
太　　原,111.9
呼和浩特,100.4
沈　　阳,114
大　　连,106.8
长　　春,112.4
哈 尔 滨,108.6
上　　海,147.2
南　　京,151
杭　　州,137.9
宁　　波,123.3
合　　肥,147.4
福　　州,128.4
厦　　门,152.5
南　　昌,127.2
济　　南,121.3
青　　岛,116.2
郑　　州,132.5
武　　汉,129.9
长　　沙,122.3
广　　州,140.2
深　　圳,146.3
南　　宁,122.5
海　　口,111.7
重　　庆,118.8
成　　都,103.9
贵　　阳,113.7
昆　　明,110
西　　安,119.6
兰　　州,107.3
西　　宁,104.7
银　　川,102.2
乌鲁木齐,100.1
唐　　山,108.8
秦 皇 岛,111.3
包　　头,102.7
丹　　东,100.1
锦　　州,93.9
吉　　林,106.5
牡 丹 江,101.2
无　　锡,139
扬　　州,120.7
徐　　州,118.4
温　　州,110.5
金　　华,119
蚌　　埠,116.9
安　　庆,113
泉　　州,111.5
九　　江,123.6
赣　　州,116.7
烟　　台,109.1
济　　宁,108.8
洛　　阳,116.5
平 顶 山,105.9
宜　　昌,112.6
襄　　阳,109.1
岳　　阳,111.1
常　　德,111
惠　　州,130
湛　　江,114
韶　　关,115.5
桂　　林,107.4
北　　海,116
三　　亚,109.7
泸　　州,107.2
南　　充,106.4
遵　　义,106.5
大　　理,106.2
