date,price
2016/4/1,13182
2016/5/1,14600
2016/6/1,14415
2016/7/1,15562
2016/8/1,15462
2016/9/1,16223
2016/10/1,17836
2016/11/1,19882
2016/12/1,18241
2017/1/1,17133
2017/2/1,15316
2017/3/1,18456
2017/4/1,15126
2017/5/1,19344
2017/6/1,15242
2017/7/1,17928
2017/8/1,23755
2017/9/1,23755
2017/10/1,27353
2017/11/1,23212
2017/12/1,23212
