城市,16-Jan
北　　京,122.5
天　　津,135.4
石 家 庄,119.1
太　　原,113.7
呼和浩特,101.4
沈　　阳,115.6
大　　连,108.9
长　　春,114.3
哈 尔 滨,111
上　　海,148
南　　京,151.7
杭　　州,137.6
宁　　波,123.5
合　　肥,147.5
福　　州,128.4
厦　　门,152.5
南　　昌,127
济　　南,119.8
青　　岛,116.6
郑　　州,131.8
武　　汉,129.8
长　　沙,122.5
广　　州,140.2
深　　圳,146
南　　宁,123.3
海　　口,111.4
重　　庆,119.6
成　　都,105.1
贵　　阳,114.6
昆　　明,110.1
西　　安,121.6
兰　　州,108.1
西　　宁,105
银　　川,103
乌鲁木齐,101.7
唐　　山,107.4
秦 皇 岛,111.3
包　　头,103.9
丹　　东,100.5
锦　　州,94.8
吉　　林,107.6
牡 丹 江,102.4
无　　锡,137.9
扬　　州,120.5
徐　　州,119.7
温　　州,110.4
金　　华,119.6
蚌　　埠,116.9
安　　庆,114.1
泉　　州,111.7
九　　江,123.2
赣　　州,117.2
烟　　台,109.9
济　　宁,109.2
洛　　阳,118.4
平 顶 山,106.6
宜　　昌,111.2
襄　　阳,109.6
岳　　阳,111.8
常　　德,112.5
惠　　州,130.3
湛　　江,114.9
韶　　关,115.9
桂　　林,108.1
北　　海,118.2
三　　亚,110
泸　　州,107.5
南　　充,108.5
遵　　义,108.4
大　　理,106.8
