城市,16-Jan,同比上年同月
北　　京,157.6,123.3
天　　津,134.3,121.2
石 家 庄,121.7,115.5
太　　原,109.4,107.5
呼和浩特,99.1,99.1
沈　　阳,103.5,102.1
大　　连,102.5,102.2
长　　春,103.3,103
哈 尔 滨,102.7,101
上　　海,145.1,116.1
南　　京,134.1,119.6
杭　　州,129.5,118.8
宁　　波,112.1,107.5
合　　肥,152,117.4
福　　州,123.1,116.1
厦　　门,150.6,129
南　　昌,117.9,113.7
济　　南,121.4,117.7
青　　岛,115.7,114.5
郑　　州,133.2,125.6
武　　汉,130.9,123.3
长　　沙,121.9,118.9
广　　州,146.3,126.1
深　　圳,144.9,106.6
南　　宁,108.6,106.9
海　　口,104.7,104.8
重　　庆,109.3,106.2
成　　都,110.2,107.7
贵　　阳,104.1,103.1
昆　　明,104.2,101.9
西　　安,99.4,102
兰　　州,102.7,102.5
西　　宁,99.7,100.1
银　　川,99.6,100.2
乌鲁木齐,97.4,99
唐　　山,104.4,105.1
秦 皇 岛,107.8,109
包　　头,98.9,101.2
丹　　东,97.1,99.4
锦　　州,93.5,98.2
吉　　林,103,102.9
牡 丹 江,102.7,101.4
无　　锡,126.3,124.3
扬　　州,110.2,110
徐　　州,107.1,106
温　　州,108.7,104.4
金　　华,109.2,106.9
蚌　　埠,107.9,108.4
安　　庆,109.8,109.9
泉　　州,109.7,109.2
九　　江,114.1,109.9
赣　　州,111,109.8
烟　　台,105.2,105
济　　宁,101.7,102.2
洛　　阳,104.6,103.9
平 顶 山,98.6,100.5
宜　　昌,108,105.5
襄　　阳,103.2,103
岳　　阳,104.1,104.3
常　　德,104,103.5
惠　　州,119.6,115.3
湛　　江,103.1,105.1
韶　　关,105.1,104.2
桂　　林,97.9,99.4
北　　海,106.1,104.1
三　　亚,106.7,105.9
泸　　州,105.2,102.7
南　　充,104.9,103.7
遵　　义,103.1,104.7
大　　理,98.2,98.9
