城市,16-Jan
北　　京,121.9
天　　津,135.7
石 家 庄,119.6
太　　原,110.4
呼和浩特,99.9
沈　　阳,112.6
大　　连,105.1
长　　春,110.4
哈 尔 滨,107.7
上　　海,147.7
南　　京,150.9
杭　　州,138
宁　　波,122.3
合　　肥,147.3
福　　州,130.2
厦　　门,152.1
南　　昌,124
济　　南,122.2
青　　岛,115.3
郑　　州,132.7
武　　汉,130.1
长　　沙,121.2
广　　州,140
深　　圳,146.2
南　　宁,120.1
海　　口,111.7
重　　庆,117.6
成　　都,104.7
贵　　阳,110.9
昆　　明,109.1
西　　安,118.1
兰　　州,106.9
西　　宁,103.7
银　　川,101.4
乌鲁木齐,99.6
唐　　山,107.7
秦 皇 岛,109.7
包　　头,101.7
丹　　东,99.1
锦　　州,94.4
吉　　林,105.2
牡 丹 江,99.6
无　　锡,139.3
扬　　州,119.7
徐　　州,117.5
温　　州,110.1
金　　华,117
蚌　　埠,115.8
安　　庆,112.3
泉　　州,111.8
九　　江,121.2
赣　　州,116.5
烟　　台,107.8
济　　宁,105.9
洛　　阳,115
平 顶 山,105.7
宜　　昌,112.7
襄　　阳,107.8
岳　　阳,109.1
常　　德,109.3
惠　　州,128.9
湛　　江,112.4
韶　　关,114
桂　　林,105.7
北　　海,113
三　　亚,109.3
泸　　州,106.7
南　　充,105
遵　　义,104.7
大　　理,104.5
