城市,16-Jan,同比上年同月
北　　京,151.6,107.9
天　　津,129.9,105.8
石 家 庄,121.1,103.5
太　　原,112,107.6
呼和浩特,100,100.4
沈　　阳,107.4,105.4
大　　连,104.6,104
长　　春,104.8,104
哈 尔 滨,106.9,105.3
上　　海,143,103.9
南　　京,133.1,106.6
杭　　州,133.6,113.9
宁　　波,116.6,109
合　　肥,153,103
福　　州,125.3,112.7
厦　　门,148.5,108
南　　昌,121,109.8
济　　南,122.4,114.2
青　　岛,119,115.8
郑　　州,133.7,116.3
武　　汉,136.6,118.5
长　　沙,124.4,119.7
广　　州,148.3,118.8
深　　圳,146.7,103
南　　宁,113.5,110.2
海　　口,104.5,103.8
重　　庆,113.8,109.5
成　　都,110.7,106.8
贵　　阳,105.7,104.2
昆　　明,105.1,102.8
西　　安,104.9,108.3
兰　　州,105,103.3
西　　宁,100.1,101
银　　川,100.1,100.5
乌鲁木齐,101.9,104.1
唐　　山,105.5,105.7
秦 皇 岛,108.9,108.9
包　　头,99.9,103.1
丹　　东,98.3,101.1
锦　　州,93.9,99.5
吉　　林,104.5,103.5
牡 丹 江,103.9,102.7
无　　锡,132.8,123.4
扬　　州,113.1,111.9
徐　　州,110.1,107.8
温　　州,113.3,108.5
金　　华,112.7,108.9
蚌　　埠,112.6,111.4
安　　庆,112.8,110.8
泉　　州,110.9,110.2
九　　江,116.6,108
赣　　州,112.1,108.3
烟　　台,109.3,107.8
济　　宁,105.7,105.2
洛　　阳,106.8,105.1
平 顶 山,100.1,103
宜　　昌,110.8,107.6
襄　　阳,104.8,103.9
岳　　阳,106.3,106.1
常　　德,106.4,104.9
惠　　州,122.6,113
湛　　江,107.2,108.7
韶　　关,106.9,107.3
桂　　林,100.2,102.5
北　　海,111.9,109.4
三　　亚,105.5,104.5
泸　　州,105.5,102.4
南　　充,107.9,105.9
遵　　义,105.1,105
大　　理,99.2,100.6
