date,price
2016/4/1,32010
2016/5/1,33302
2016/6/1,33572
2016/7/1,33895
2016/8/1,42588
2016/9/1,40764
2016/10/1,45340
2016/11/1,45340
2016/12/1,45340
2017/1/1,41559
2017/2/1,42208
2017/3/1,44872
2017/4/1,51913
2017/5/1,54093
2017/6/1,54093
2017/7/1,57083
2017/8/1,57083
2017/9/1,57083
2017/10/1,57083
2017/11/1,57083
2017/12/1,57083
