城市,16-Sep,同比上年同月
北　　京,148.4,140.7
天　　津,127.8,125.9
石 家 庄,121.9,121.8
太　　原,104.6,104.1
呼和浩特,99.7,99.6
沈　　阳,101.8,101.4
大　　连,100.7,100.4
长　　春,101.1,100.3
哈 尔 滨,101.8,101.2
上　　海,142.3,138
南　　京,129.1,127.4
杭　　州,122.9,121.8
宁　　波,108.9,108
合　　肥,152.9,151.8
福　　州,115.6,114.9
厦　　门,140.4,139.2
南　　昌,112.7,112
济　　南,112.9,112.6
青　　岛,108,107.6
郑　　州,123.4,123
武　　汉,120.1,119
长　　沙,107.1,107
广　　州,128.5,124.5
深　　圳,145.8,130.9
南　　宁,103.8,102.9
海　　口,100.9,102
重　　庆,104.7,104
成　　都,105.5,105.6
贵　　阳,101.8,101.7
昆　　明,102,102.4
西　　安,96.6,96.8
兰　　州,101.9,102.2
西　　宁,99.4,99
银　　川,99.7,100.1
乌鲁木齐,97.9,97.1
唐　　山,99.8,100.1
秦 皇 岛,100,100.3
包　　头,95.9,95.9
丹　　东,97.4,97.8
锦　　州,94.3,96.3
吉　　林,101.2,100.9
牡 丹 江,101.1,101
无　　锡,116.9,116.9
扬　　州,102,101.8
徐　　州,103.2,103.4
温　　州,105.7,104.4
金　　华,104.8,104.1
蚌　　埠,102.3,102.9
安　　庆,103.1,103.6
泉　　州,101.9,101.8
九　　江,108.5,107.4
赣　　州,106.5,106
烟　　台,101.9,101.9
济　　宁,100.5,100.3
洛　　阳,102,101.9
平 顶 山,97.6,97.3
宜　　昌,103.5,102.8
襄　　阳,100.8,101.2
岳　　阳,100.8,100.8
常　　德,102.4,102.2
惠　　州,111.8,112.1
湛　　江,99,99.9
韶　　关,100.7,99.9
桂　　林,97.9,98.4
北　　海,102.6,101.6
三　　亚,101.6,101.7
泸　　州,103.5,102.8
南　　充,102.5,102.6
遵　　义,100,100.2
大　　理,98.5,99.3
