城市,16-Jan
北　　京,121.9
天　　津,134.5
石 家 庄,118.3
太　　原,106.4
呼和浩特,98.4
沈　　阳,105.9
大　　连,101.8
长　　春,106
哈 尔 滨,102.9
上　　海,147.6
南　　京,151.4
杭　　州,138.2
宁　　波,117.6
合　　肥,148.4
福　　州,131
厦　　门,147.9
南　　昌,119.5
济　　南,119.4
青　　岛,113.7
郑　　州,131.8
武　　汉,129.1
长　　沙,117.7
广　　州,133.5
深　　圳,147.8
南　　宁,114.9
海　　口,110.1
重　　庆,110.5
成　　都,104.4
贵　　阳,105.9
昆　　明,104.7
西　　安,111.3
兰　　州,104.5
西　　宁,102.5
银　　川,101.2
乌鲁木齐,97.7
唐　　山,102.7
秦 皇 岛,105.7
包　　头,99.2
丹　　东,98.8
锦　　州,93.6
吉　　林,101.5
牡 丹 江,97.3
无　　锡,137.9
扬　　州,113.5
徐　　州,111.5
温　　州,105.7
金　　华,110.1
蚌　　埠,108.9
安　　庆,108.9
泉　　州,110.2
九　　江,113.4
赣　　州,115
烟　　台,104.6
济　　宁,101.4
洛　　阳,108.5
平 顶 山,103.7
宜　　昌,106
襄　　阳,103
岳　　阳,105.4
常　　德,102.7
惠　　州,125.2
湛　　江,108.5
韶　　关,109.1
桂　　林,102.1
北　　海,105.3
三　　亚,108.4
泸　　州,105.1
南　　充,101.5
遵　　义,103.6
大　　理,102.7
