date,price
2016/6/1,19234
2016/7/1,20140
2016/8/1,20140
2016/9/1,17794
2016/10/1,17794
2016/11/1,17794
2016/12/1,20046
2017/1/1,23562
2017/2/1,25559
2017/3/1,25559
2017/4/1,26960
2017/5/1,33187
2017/6/1,33187
2017/7/1,33187
2017/8/1,32802
2017/9/1,31022
2017/10/1,32218
2017/11/1,31205
2017/12/1,32285
